READING_DATE_MUTATE,DISTANCE_SUM,SPEED_AVE_ALL,HEART_RATE_AVG_ALL
2015/05/30,4.627,10.0548,144
2015/05/31,88.85754,8.37,146
2015/06/01,7.00472,10.10617092,142.6
2015/06/02,6.01131,10.1142,142.1
2015/06/03,8.152355,10.0692,150.5
2015/06/04,6.514825,10.2096,152
2015/06/05,7.485245,10.76701059,142
2015/06/06,5.9575,10.2042,147.5
2015/06/07,9.7092,10.0368,145
2015/06/08,7.2264854,10.37937654,151
2015/06/09,6.18265,10.17,146
2015/06/10,6.00348,10.52694545,151
2015/06/11,7.9485,10.5444,142
2015/06/12,7.56498,10.3068,148
2015/06/13,8.042795,9.597508892,147
2015/06/14,10.13605,9.9684,148
2015/06/15,6.782145,10.39266028,151
2015/06/16,9.94188,10.278,145.55
2015/06/17,5.494,10.6596,150.5
2015/06/18,7.92517,10.6992,142.45
2015/06/19,7.517895,10.3392,152.8
2015/06/20,8.00736165,10.2672,152
2015/06/21,10.2742,10.0476,154.55
2015/06/22,7.2039,10.5858,147.5
2015/06/23,7.2013,10.33174546,149
2015/06/24,7.8136,10.5408,151
2015/06/25,8.01364,10.7064,148.6
2015/06/26,7.034555,10.692,147
2015/06/27,10.22559,10.2294,149.5
2015/06/28,10.08741,10.035,150.5
2015/06/29,7.0083,10.9116,140.2
2015/06/30,7.004895,10.4976,147
2015/07/01,7.61562,10.5192,144.5
2015/07/02,8,10.49107464,149
2015/07/03,8.05469,10.2402,141.6
2015/07/04,10.115185,10.3392,150
2015/07/05,9.91355,10.2921876,150
2015/07/06,8.1047,10.3788,143.5
2015/07/07,7.22,10.4706,149
2015/07/08,7.66574,10.1952,145.5
2015/07/09,7.3995,10.5174,150.5
2015/07/10,8.229,10.6092,148
2015/07/11,13.706315,10.1394,148.59396
2015/07/12,10.22318,10.2852,145.5
2015/07/13,7.301925,10.2492,142.3
2015/07/14,7.97548,10.3428,148
2015/07/15,8.005315,10.4508,147.7
2015/07/16,7.07913,10.755,146
2015/07/17,8.041,10.6308,139
2015/07/18,10.204516,10.4346,149.5
2015/07/19,11.83011,10.314,141
2015/07/20,8.3651,10.6272,143.5
2015/07/21,7.9454,10.3914,147
2015/07/22,7.25565,10.6416,146
2015/07/23,6.914695,10.5912,147.3
2015/07/24,5.899105,10.6164,149.05
2015/07/25,10.12431,10.4004,150.75
2015/07/26,10.50344,10.0404,148
2015/07/27,8.03703,10.4976,146
2015/07/28,7.00306,10.6164,148
2015/07/29,7.38829,10.1664,146
2015/07/30,7.62181,10.476,150
2015/07/31,6.418075,10.4184,146
2015/08/01,10.93605,9.9936,147
2015/08/02,11.54737,9.9576,148.2
2015/08/03,8.40527,10.2924,144
2015/08/04,7.01257,10.2546,153
2015/08/05,8.008475,10.4778,145.5
2015/08/06,8.004835,10.7514,149
2015/08/07,8.2035,10.5894,146
2015/08/08,10.06929,9.9648,150
2015/08/09,12.33231,9.8136,144
2015/08/10,10.0763,10.1376,148.9
2015/08/11,6.4261,10.1232,144
2015/08/12,8.11928,10.2492,151
2015/08/13,7.27648,10.6164,149
2015/08/14,8.353115,10.5876,144
2015/08/15,14.00074,9.8928,151.8
2015/08/16,14.187035,10.0296,146
2015/08/17,8.03151,10.512,141
2015/08/18,7.63118,10.2024,150
2015/08/19,8.02405,10.3572,148.8
2015/08/20,7.23109,10.6164,149.45
2015/08/21,8.519705,10.3392,144.9
2015/08/22,12.22047,10.107,149
2015/08/23,13.44195,10.2546,145.05
2015/08/24,7.63484,10.3533597,139
2015/08/25,7.071105,10.6488,147
2015/08/26,8.01406,10.2978,144.45
2015/08/27,8.01526,10.5408,147.2
2015/08/28,8.073717,10.2096,143.9
2015/08/29,10.45368,9.8712,146.7
2015/08/30,20.60839,9.887872515,153
2015/08/31,8.004915,10.2654,139
2015/09/01,7.00775,10.4652,147.5
2015/09/02,8.15194,10.3914,149
2015/09/03,8.005095,10.566,149.5
2015/09/04,8.547285,10.4472,148.2
2015/09/05,13.181895,10.1736,149
2015/09/06,14.08553,9.87878826,146.159605
2015/09/07,8.35557,10.71745562,146
2015/09/08,7.98445,10.2834,153.7
2015/09/09,8.34979,10.1736,148
2015/09/10,7.96241,10.395,145
2015/09/11,8.10961,10.4598,143.6
2015/09/12,12.46313,10.10360718,147.5
2015/09/13,12.1767685,10.3068,145.85
2015/09/14,7.61447,10.7496,145.5
2015/09/15,7.53567,10.52895096,150.5
2015/09/16,8.266271,10.2924,149
2015/09/17,8.003245,10.64487636,145
2015/09/18,9.30653,10.8324,145
2015/09/19,10.69594,10.2528,146
2015/09/20,21.310755,10.0746,153
2015/09/21,8.0574,10.467,142.45
2015/09/22,8.00526,10.4994,147
2015/09/23,9.13826,10.296,149
2015/09/24,9.9077,10.152,145
2015/09/25,8.479295,10.2132,145
2015/09/26,11.04914,10.278,146.5
2015/09/27,12.29352,10.1916,147
2015/09/28,8.00936,10.152,144
