READING_DATE_MUTATE,USER_ID,DISTANCE_SUM,SPEED_AVE_ALL,HEART_RATE_AVG_ALL
2015/05/30,100230,4.01884,9.3672,
2015/05/30,100940,43.1663,9.4698,148.9
2015/05/30,100988,10.01455,8.4924,144
2015/05/30,1010,5.00967,8.7552,126
2015/05/30,101906,1.54551,9.3996,144
2015/05/30,102490,18.2815,10.0548,134.4
2015/05/30,1062,3.90931,10.2312,
2015/05/30,109161,5.0023,10.6488,
2015/05/30,11028,42.00861,12.7188,
2015/05/30,1104,4.0041216,7.56061236,
2015/05/30,111659,2.1,8.7804,
2015/05/30,111990,8.0094,8.7084,
2015/05/30,113126,10.57592,12.204,
2015/05/30,113621,6.78481,9.194383735,
2015/05/30,113892,4.99611,9.1764,
2015/05/30,12137,3.01942,8.21610828,
2015/05/30,124975,2.00047,9.198,143
2015/05/30,127420,10.02015,10.8756,161
2015/05/30,127550,16.04559,7.9308,
2015/05/30,13542,2.10639,10.944,
2015/05/30,136908,2.77952,9.072,
2015/05/30,137641,8.46799,11.979,148.15
2015/05/30,138146,3.1476,8.8524,148.9
2015/05/30,139262,13.12691,12.804,
2015/05/30,140042,7.99714,8.073,191.1
2015/05/30,140654,11.2026,10.872,
2015/05/30,140977,4.67305,8.928,
2015/05/30,141018,12.78966,11.9376,
2015/05/30,14939,3.13924,7.3152,113
2015/05/30,156494,10.0132,12.0456,
2015/05/30,1575,14.81561,9.7848,
2015/05/30,157594,1.90263,8.3952,122
2015/05/30,1581,4.79696,9.7812,
2015/05/30,1615,10.29184,6.948,
2015/05/30,163364,10.01045,11.50259184,161.65784
2015/05/30,16558,4.96208,10.4076,
2015/05/30,1701,5.03847,10.12757832,161.67653
2015/05/30,1742,4.1324,10.9152,
2015/05/30,1766,3.88523,9.7776,
2015/05/30,191119,5.01247,13.7952,
2015/05/30,192708,10.62396,6.8616,
2015/05/30,19340,2.03464,8.0892,
2015/05/30,198679,4.15859,12.3984,
2015/05/30,204788,10.0238,11.2176,
2015/05/30,2066,1.95573,7.8228,
2015/05/30,214603,5.11601,10.4112,
2015/05/30,2286,6.00986,12.6288,
2015/05/30,229243,3.16086,9.3132,
2015/05/30,233993,3.21313,10.2168,
2015/05/30,237472,0.00043,0.8748,
2015/05/30,242897,11.00581,9.0216,
2015/05/30,262630,4.79332,10.5912,
2015/05/30,265126,1.95863,10.8936,
2015/05/30,287285,17.84257,11.2104,
2015/05/30,290013,8.6873,12.8124,
2015/05/30,301252,4.9844,12.348,
2015/05/30,325984,4.23568,10.4328,
2015/05/30,330137,4.62788,9.5076,
2015/05/30,34811,3.28581,10.9044,
2015/05/30,38282,10,12.6612,
2015/05/30,38917,4.5593,10.4256,141
2015/05/30,38952,1.9054,9.5616,
2015/05/30,39473,5.86591,13.5486,172.5
2015/05/30,39502,2.18867,9.9,143
2015/05/30,41409,3.12723,9.3924,146
2015/05/30,43057,10.00072,9.306,
2015/05/30,43333,11.33444,12.6936,
2015/05/30,43971,3.24044,11.1816,132
2015/05/30,44721,3.81789,11.106,
2015/05/30,44768,11.32645,12.7998,
2015/05/30,45543,5.16578,6.696,121
2015/05/30,46626,20.8777,11.9448,
2015/05/30,46818,2.35589,9.29956536,113.348305
2015/05/30,47172,5.00592,10.3716,
2015/05/30,47341,5.94,10.2852,
2015/05/30,51098,3.59972,10.386,
2015/05/30,56505,6.8164,8.0604,
2015/05/30,62085,5.13009,9.4932,145
2015/05/30,656,2.24498,7.6932,123
2015/05/30,675,13.03592,9.6096,
2015/05/30,69994,20.0176,10.368,
